"id","is_alive","random_generator_seed","radius","type","direction:0","direction:1","Points:0","Points:1","Points:2"
43,1,1.6263e+09,0,0,0.27762,0.03645,19.434,45.236,0
44,1,1.6263e+09,0,0,0.23257,-0.15592,26.82,10.37,0
45,1,1.6263e+09,0,0,0.25802,-0.10874,20.983,14.33,0
46,1,1.6263e+09,0,0,0.24374,-0.1378,30.079,28.614,0
47,1,1.6263e+09,0,0,0.20851,-0.18688,26.697,44.827,0
48,1,1.6263e+09,0,0,0.27989,-0.0076841,24.614,14.812,0
49,1,1.6263e+09,0,0,-0.1967,0.19927,12.395,28.977,0
50,1,1.6263e+09,0,0,-0.022561,-0.27909,41.034,44.939,0
51,1,1.6263e+09,0,0,-0.20257,-0.19331,36.004,45.22,0
52,1,1.6263e+09,0,0,0.26171,-0.099531,35.047,28.545,0
53,1,1.6263e+09,0,0,0.041684,-0.27688,22.758,13.07,0
54,1,1.6263e+09,0,0,0.23371,0.15421,3.882,65.463,0
55,1,1.6263e+09,0,0,0.27839,-0.030003,26.443,30.289,0
56,1,1.6263e+09,0,0,0.21294,0.18181,23.014,44.449,0
57,1,1.6263e+09,0,0,-0.27989,0.007822,33.31,28.301,0
58,1,1.6263e+09,0,0,0.25951,0.10515,29.432,14.561,0
59,1,1.6263e+09,0,0,0.27957,-0.015514,37.632,44.39,0
60,1,1.6263e+09,0,0,0.15226,0.23498,47.517,45.399,0
61,1,1.6263e+09,0,0,0.18032,0.21421,3.2035,54.534,0
62,1,1.6263e+09,0,0,0.069106,-0.27134,5.6968,60.435,0
63,1,1.6263e+09,0,0,-0.15714,0.23175,20.798,12.478,0
64,1,1.6263e+09,0,0,0.27593,-0.04756,21.591,29.8,0
65,1,1.6263e+09,0,0,-0.24956,0.12696,25.119,13.256,0
66,1,1.6263e+09,0,0,0.27438,0.055842,32.56,29.517,0
67,1,1.6263e+09,0,0,0.2555,-0.11455,29.426,11.587,0
68,1,1.6263e+09,0,0,0.18492,0.21025,18.258,28.745,0
69,1,1.6263e+09,0,0,0.27943,0.017835,4.3537,63.826,0
70,1,1.6263e+09,0,0,0.12115,0.25243,18.109,15.727,0
71,1,1.6263e+09,0,0,0.27605,0.046887,15.937,28.661,0
72,1,1.6263e+09,0,0,0.063098,0.2728,3.4895,56.349,0
73,1,1.6263e+09,0,0,0.22984,-0.15992,17.429,29.397,0
74,1,1.6263e+09,0,0,0.21687,0.17711,33.441,45.653,0
75,1,1.6263e+09,0,0,0.22995,0.15976,23.411,45.616,0
76,1,1.6263e+09,0,0,0.21302,-0.18172,2.9269,58.817,0
77,1,1.6263e+09,0,0,-0.10044,0.26137,1.7565,20.428,0
78,1,1.6263e+09,0,0,0.27122,-0.06955,26.069,28.008,0
79,1,1.6263e+09,0,0,0.12704,0.24952,4.6561,61.752,0
80,1,1.6263e+09,0,0,0.22347,-0.1687,30.738,45.148,0
81,1,1.6263e+09,0,0,0.23242,-0.15615,5.2839,1.0184,0
82,1,1.6263e+09,0,0,0.24927,0.12754,19.983,29.565,0
83,1,1.6263e+09,0,0,-0.27956,0.015677,19.428,46.349,0
84,1,1.6263e+09,0,0,-0.04468,-0.27641,19.466,10.408,0
85,1,1.6263e+09,0,0,0.033492,0.27799,4.1674,67.501,0
86,1,1.6263e+09,0,0,0.20148,-0.19443,23.109,29.241,0
87,1,1.6263e+09,0,0,0.26573,-0.088232,14.015,29.139,0
88,1,1.6263e+09,0,0,0.1897,0.20595,18.339,13.988,0
